traz1_x,traz1_y,traz1_z,traz2_x,traz2_y,traz2_z,traz3_x,traz3_y,traz3_z
0,0.5,1.5,0,0.5,1.5,0,0.5,1.5
0.04,0.5,1.502,0.1397,0.5,1.5001,0.1397,0.5,1.5001
0.0799,0.5,1.504,0.2793,0.5,1.5002,0.2793,0.5,1.5002
0.1199,0.5,1.5059,0.4187,0.5,1.5003,0.4189,0.5,1.5003
0.1598,0.5,1.5079,0.5579,0.5,1.5005,0.5585,0.5,1.5005
0.1997,0.4999,1.5099,0.697,0.5,1.5007,0.6981,0.5,1.5007
0.2397,0.4999,1.5118,0.8359,0.5,1.5009,0.8377,0.5,1.5009
0.2795,0.4999,1.5138,0.9746,0.5,1.5012,0.9773,0.5,1.5012
0.3194,0.4999,1.5157,1.1131,0.5,1.5015,1.1169,0.5,1.5015
0.3593,0.4998,1.5176,1.2515,0.5,1.5019,1.2565,0.5,1.5019
0.3991,0.4998,1.5196,1.3897,0.5,1.5023,1.3961,0.5,1.5023
0.439,0.4998,1.5215,1.5277,0.5,1.5027,1.5357,0.5,1.5027
0.4788,0.4997,1.5234,1.6656,0.5,1.5032,1.6753,0.5,1.5032
0.5186,0.4997,1.5253,1.8033,0.5,1.5037,1.8149,0.5,1.5037
0.5584,0.4996,1.5272,1.9408,0.5,1.5042,1.9545,0.5,1.5042
0.5982,0.4996,1.5291,2.0782,0.5,1.5048,1.9545,0.5,1.5048
0.6379,0.4995,1.531,2.2153,0.5,1.5054,1.9545,0.5,1.5054
0.6777,0.4995,1.5328,2.3524,0.5,1.5061,1.9545,0.5,1.5061
0.7174,0.4994,1.5347,2.4892,0.5,1.5068,1.9545,0.5,1.5068
0.7572,0.4993,1.5366,2.6259,0.5,1.5075,1.9545,0.5,1.5075
0.7969,0.4993,1.5384,2.7625,0.5,1.5083,1.9545,0.5,1.5083
0.8366,0.4992,1.5403,2.8988,0.5,1.5091,1.9545,0.5,1.5091
0.8762,0.4991,1.5421,3.035,0.5,1.5099,1.9545,0.5,1.5099
0.9159,0.499,1.5439,3.171,0.5,1.5108,1.9545,0.5,1.5108
0.9556,0.499,1.5458,3.3069,0.5,1.5117,1.9545,0.5,1.5117
0.9952,0.4989,1.5476,3.4426,0.5,1.5126,1.9545,0.5,1.5126
1.0348,0.4988,1.5494,3.5782,0.5,1.5136,1.9545,0.5,1.5136
1.0744,0.4987,1.5512,3.7135,0.5,1.5146,1.9545,0.5,1.5146
1.114,0.4986,1.553,3.8488,0.5,1.5157,3.9089,0.5,1.5157
1.1536,0.4985,1.5548,3.9838,0.5,1.5168,4.0485,0.5,1.5168
1.1932,0.4984,1.5566,4.1187,0.5,1.5179,4.1881,0.5,1.5179
1.2327,0.4983,1.5583,4.2534,0.5,1.5191,4.3277,0.5,1.5191
1.2723,0.4982,1.5601,4.388,0.5,1.5203,4.4673,0.5,1.5203
1.3118,0.4981,1.5619,4.5224,0.5,1.5215,4.6069,0.5,1.5215
1.3513,0.498,1.5636,4.6567,0.5,1.5227,4.7465,0.5,1.5227
1.3908,0.4979,1.5654,4.7908,0.5,1.524,4.8861,0.5,1.524
1.4303,0.4977,1.5671,4.9247,0.5,1.5254,5.0257,0.5,1.5254
1.4698,0.4976,1.5688,5.0585,0.5,1.5267,5.1653,0.5,1.5267
1.5092,0.4975,1.5705,5.1921,0.5,1.5281,5.3049,0.5,1.5281
1.5486,0.4974,1.5723,5.3255,0.5,1.5296,5.4445,0.5,1.5296
1.5881,0.4972,1.574,5.4588,0.5,1.5311,5.5841,0.5,1.5311
1.6275,0.4971,1.5757,5.592,0.5,1.5326,5.7237,0.5,1.5326
1.6669,0.497,1.5774,5.725,0.5,1.5341,5.8633,0.5,1.5341
1.7063,0.4968,1.5791,5.8578,0.5,1.5357,6.0029,0.5,1.5357
1.7456,0.4967,1.5807,5.9905,0.5,1.5373,6.1425,0.5,1.5373
1.785,0.4965,1.5824,6.123,0.5,1.5389,6.2821,0.5,1.5389
1.8244,0.4964,1.5841,6.2553,0.5,1.5406,6.4217,0.5,1.5406
1.8637,0.4962,1.5857,6.3875,0.5,1.5423,6.5613,0.5,1.5423
1.903,0.4961,1.5874,6.5196,0.5,1.544,6.7009,0.5,1.544
1.9423,0.4959,1.589,6.6515,0.5,1.5458,6.8405,0.5,1.5458
1.9816,0.4957,1.5907,6.7832,0.5,1.5476,6.9801,0.5,1.5476
2.0209,0.4956,1.5923,6.9148,0.5,1.5495,7.1197,0.5,1.5495
2.0601,0.4954,1.5939,7.0462,0.5,1.5513,7.2593,0.5,1.5513
2.0994,0.4952,1.5955,7.1775,0.5,1.5533,7.3989,0.5,1.5533
2.1386,0.495,1.5972,7.3086,0.5,1.5552,7.5385,0.5,1.5552
2.1778,0.4949,1.5988,7.4396,0.4999,1.5572,7.6781,0.4999,1.5572
2.217,0.4947,1.6004,7.5704,0.4999,1.5592,7.8177,0.4999,1.5592
2.2562,0.4945,1.6019,7.7011,0.4999,1.5612,7.9573,0.4999,1.5612
2.2954,0.4943,1.6035,7.8316,0.4999,1.5633,8.0969,0.4999,1.5633
2.3346,0.4941,1.6051,7.9619,0.4999,1.5654,8.2365,0.4999,1.5654
2.3737,0.4939,1.6067,8.0922,0.4999,1.5675,8.3761,0.4999,1.5675
2.4129,0.4937,1.6082,8.2222,0.4999,1.5697,8.5157,0.4999,1.5697
2.452,0.4935,1.6098,8.3521,0.4999,1.5719,8.6553,0.4999,1.5719
2.4911,0.4933,1.6113,8.4819,0.4999,1.5742,8.7949,0.4999,1.5742
2.5302,0.4931,1.6129,8.6115,0.4999,1.5764,8.9345,0.4999,1.5764
2.5693,0.4929,1.6144,8.741,0.4999,1.5787,9.0741,0.4999,1.5787
2.6083,0.4927,1.6159,8.8703,0.4999,1.5811,9.2137,0.4999,1.5811
2.6474,0.4924,1.6174,8.9994,0.4999,1.5834,9.3533,0.4999,1.5834
2.6864,0.4922,1.6189,9.1285,0.4999,1.5858,9.4929,0.4999,1.5858
2.7255,0.492,1.6204,9.2573,0.4999,1.5882,9.6325,0.4999,1.5882
2.7645,0.4918,1.6219,9.386,0.4999,1.5907,9.7721,0.4999,1.5907
2.8035,0.4915,1.6234,9.5146,0.4999,1.5932,9.9117,0.4999,1.5932
2.8425,0.4913,1.6249,9.643,0.4999,1.5957,10.0513,0.4999,1.5957
2.8815,0.4911,1.6264,9.7713,0.4999,1.5983,10.1909,0.4999,1.5983
2.9204,0.4908,1.6278,9.8994,0.4999,1.6009,10.3305,0.4999,1.6009
2.9594,0.4906,1.6293,10.0274,0.4999,1.6035,10.4701,0.4999,1.6035
2.9983,0.4903,1.6308,10.1553,0.4999,1.6061,10.6097,0.4999,1.6061
3.0372,0.4901,1.6322,10.283,0.4999,1.6088,10.7493,0.4999,1.6088
3.0761,0.4898,1.6336,10.4105,0.4999,1.6115,10.8889,0.4999,1.6115
3.115,0.4896,1.6351,10.5379,0.4999,1.6143,11.0285,0.4999,1.6143
3.1539,0.4893,1.6365,10.6652,0.4999,1.617,11.1681,0.4999,1.617
3.1928,0.4891,1.6379,10.7923,0.4999,1.6198,11.3077,0.4999,1.6198
3.2316,0.4888,1.6393,10.9193,0.4999,1.6227,11.4473,0.4999,1.6227
3.2704,0.4885,1.6407,11.0461,0.4999,1.6255,11.5869,0.4999,1.6255
3.3093,0.4883,1.6421,11.1728,0.4999,1.6284,11.7265,0.4999,1.6284
3.3481,0.488,1.6435,11.2993,0.4999,1.6314,11.8661,0.4999,1.6314
3.3869,0.4877,1.6449,11.4257,0.4999,1.6343,12.0057,0.4999,1.6343
3.4257,0.4874,1.6463,11.552,0.4999,1.6373,12.1453,0.4999,1.6373
3.4644,0.4871,1.6476,11.6781,0.4999,1.6403,12.2849,0.4999,1.6403
3.5032,0.4869,1.649,11.8041,0.4999,1.6434,12.4245,0.4999,1.6434
3.5419,0.4866,1.6504,11.9299,0.4999,1.6464,12.5641,0.4999,1.6464
3.5807,0.4863,1.6517,12.0556,0.4999,1.6496,12.7037,0.4999,1.6496
3.6194,0.486,1.653,12.1811,0.4999,1.6527,12.8433,0.4999,1.6527
3.6581,0.4857,1.6544,12.3066,0.4999,1.6559,12.9829,0.4999,1.6559
